dob,height,hometown,name,weight
4/27/88,"6'0""","Kapurthaia,IND","Bhullar,Gaganjeet",183lbs
,"6'3""","Middlefield,USA","Bierkan,John",
9/10/73,"6'0""","Spartanburg,USA","Biershenk,Tommy",190lbs
,,USA,"Bilodeau,Kyle",
,,USA,"Binfield,Wade",
12/26/90,"6'1""","TrophyClub,USA","Birdsey,Thomas",
8/14/91,"6'3""","Frederikshavn,DNK","Bjerregaard,Lucas",183lbs
2/18/71,"6'2""","Silkeborg,DNK","Bjorn,Thomas",194lbs
5/7/79,"5'9""","Oslo,NOR","Bjornstad,Henrik",163lbs
,,USA,"Black,ChrisW.",
,,"Savannah,USA","Blackburn,Brooks",
,"5'7""","Ogden,USA","Blair,Zac",125lbs
8/3/82,"5'11""","Maysville,USA","Blakefield,Mark",
1/30/87,"5'10""","Maywood,USA","Blakeman,Bennett",
8/26/82,"6'1""","Mildura,AUS","Bland,Adam",190lbs
11/3/72,"5'10""","WarnerRobins,USA","Blanks,Kris",220lbs
10/16/83,"6'2""","CoralGables,USA","Blaum,Ryan",187lbs
4/24/84,"5'11""","Hammaro,SWE","Blixt,Jonas",162lbs
,,USA,"Block,Michael",
4/24/73,"6'0""","Lewisburg,USA","Bohn,Jason",180lbs
3/18/76,"6'2""","Portland,USA","Bolli,Justin",200lbs
1/28/77,"6'2""","Cleveland,USA","Borchert,Matthew",185lbs
9/4/64,"6'0""","FortLauderdale,USA","Boros,Guy",275lbs
,"6'1""","Longueuil,CAN","Boudreau,Ben",191lbs
8/11/87,"6'2""",FRA,"Bouniol,Cyril",
4/25/82,"5'11""","Bordeaux,FRA","Bourdy,Gregory",154lbs
,,,"Bova,Matt",
6/8/83,"6'0""","Newcastle,AUS","Bowditch,Steven",200lbs
10/4/86,"6'1""","Banbury,ENG","Boyd,Gary",174lbs
5/22/91,,"Pittsford,USA","Bozzelli,Dominic",
6/7/86,"6'2""","Woodstock,USA","Bradley,Keegan",190lbs
7/17/66,"6'0""","Largo,USA","Bradley,Michael",200lbs
,"5'11""","CharlesTown,USA","Bradshaw,David",170lbs
4/7/88,"6'4""","Stanford,USA","Bramlett,Joseph",195lbs
,,USA,"Brand,Christian",
5/13/83,"5'9""","SanAntonio,USA","Brandt,Jimmy",
9/25/69,"5'10""","Oswego,USA","Branshaw,David",165lbs
,,USA,"Bray,Dustin",
12/28/78,"5'10""","NewSouthWales,AUS","Brazel,Sam",
4/5/86,"6'4""","Mt.Pleasant,USA","Brehm,Ryan",205lbs
,"6'1""","Salem,USA","Brewbaker,Fielding",215lbs
5/3/76,"6'4""","Clovis,USA","Brigman,DJ",195lbs
7/14/78,"6'1""","Albany,USA","Broadaway,Josh",175lbs
1/8/86,,SWE,"Broberg,Kristoffer",
2/7/77,"6'1""","Napoleon,USA","Broce,Jamie",200lbs
,,,"Brock,Josh",
1/5/87,"6'0""","Basildon,ENG","Brooks,Daniel",156lbs
3/25/61,"5'9""","Ft.Worth,USA","Brooks,Mark",150lbs
,"5'11""","Beaumont,USA","Broussard,Anthony",175lbs
6/18/82,"5'7""","Frankfort,USA","Brown,Brandon",160lbs
9/1/87,"5'7""","SanAntonio,USA","Brown,Christopher",165lbs
,"5'10""","Richardson,USA","Brown,Hunter",
2/9/75,"6'0""","LowerHutt,USA","Brown,Mark",170lbs
5/22/83,"5'8""","Augusta,USA","Brown,Scott",165lbs
5/9/79,"5'11""","Calgary,CAN","Brown,Ted",190lbs
5/22/59,"5'9""","Washington,USA","Browne,Olin",175lbs
4/1/92,"6'3""",FRA,"Brun,Julien",165lbs
,,USA,"Bryan,Wesley",
11/18/62,"6'0""","Gatesville,USA","Bryant,Bart",195lbs
9/24/82,"5'9""","Brisbane,AUS","Buckle,Andrew",180lbs
,,USA,"Bulle,Kent",
8/20/93,"6'1""","Harvey,USA","Bullington,Brian",180lbs
,,CAN,"Bunker,Dave",
2/23/73,,"Somerset,USA","Burgin,Kelvin",
6/2/87,"6'0""","TheWoodlands,USA","Burgoon,Bronson",175lbs
5/30/87,"6'1""","Kitchener,CAN","Burke,Cam",170lbs
6/2/89,"5'11""",ZWE,"Burmester,Dean",167lbs
4/5/68,"5'8""","MissionHills,USA","Burns,Bob",165lbs
9/9/74,"6'5""","Dallas,USA","Burns,Jeff",218lbs
,,"Shreveport,USA","Burns,Sam",
1/27/78,"5'9""","Anderson,USA","Byrd,Jonathan",165lbs
9/28/60,"5'10""","Onida,USA","Byrum,Tom",175lbs
,"5'10""",USA,"Cabra,Zach",
9/12/69,"6'0""","Cordoba,ARG","Cabrera,Angel",210lbs
6/5/89,"6'1""",ARG,"Cabrera,Frederico",
5/25/84,"6'1""","LasPalmas,ESP","CabreraBello,Rafael",179lbs
,"5'11""",ARG,"CabreraJr.,Angel",187lbs
5/10/64,"5'8""","Detroit,USA","Cairns,Brian",185lbs
6/12/60,"6'0""","Laurel,USA","Calcavecchia,Mark",240lbs
6/28/91,"5'8""",PRI,"Calvesbert,Robert",
3/6/93,,"Irvine,USA","Campbell,Brian",
5/31/74,"6'1""","Andrews,USA","Campbell,Chad",205lbs
,,USA,"Campbell,Matthew",
1/6/86,"5'11""","Caceres,ESP","Campillo,Jorge",176lbs
,,"WestEnd,USA","Camplin,Todd",
,"5'8""","Guaynabo,PRI","Campos,Rafael",
,,USA,"Campusano,Juan",
9/1/83,"5'11""","Madrid,ESP","Canizares,Alejandro",158lbs
,,USA,"Cannon,Will",
3/17/92,"5'10""","LongBeach,USA","Cantlay,Patrick",160lbs
,,CHN,"Cao,Yi",
,"5'2""","Stillwater,USA","Capan,Frankie",
4/14/90,"6'0""",DNK,"Cappelen,Sebastian",
3/22/79,"5'10""","BahiaBlanca,ARG","Carballo,MiguelAngel",176lbs
,"5'8""","Hyannis,USA","Carbone,Mike",160lbs
3/7/75,"6'2""",,"Carll,Kevin",195lbs
8/21/80,"5'11""","Vasteras,SWE","Carlsson,MagnusA",176lbs
7/25/72,"5'11""","Hyannis,USA","Caron,Jason",170lbs
6/26/90,"6'0""","St.Louis,USA","Carpenter,Alex",160lbs
,,,"Carr,David",
6/19/86,"6'1""","Victoria,CAN","Carrigan,Kevin",180lbs
6/24/61,"6'0""","SpringLake,USA","Carter,Jim",185lbs
,,USA,"Carter,Pat",
12/31/61,"6'1""","SanJose,USA","Casagranda,Gregory",185lbs
7/21/77,"5'10""","Cheltenham,ENG","Casey,Paul",180lbs
7/23/85,"6'0""","Houston,USA","Castro,Roberto",170lbs
3/16/90,"5'7""","DaytonaBeach,USA","Cauley,Bud",150lbs
8/15/89,"5'9""","Tampico,MEX","Cazaubon,RodolfoE.",
12/2/70,"5'8""","Marienbad,CZE","Cejka,Alex",168lbs
10/11/73,"6'0""","Sydney,AUS","Chalmers,Greg",200lbs
,,USA,"Champ,Cameron",
,,USA,"Chang,Derek",
,,USA,"Chaplet,Paul",
7/8/86,"6'0""","Fresno,USA","Chappell,Kevin",190lbs
5/15/78,"5'5""",IND,"Chawrasia,S.S.P.",
8/25/89,,ENG,"Chesters,Ashley",
11/11/72,"5'7""","KualaLumpur,MYS","Chia,Danny",165lbs
,,,"Chin,John",
5/4/92,"5'11""","Surrey,CAN","Choi,Albin",175lbs
5/27/84,"5'7""",KOR,"Choi,Jin-Ho",
5/19/70,"5'8""","Wando,KOR","Choi,K.J.",185lbs
12/23/73,"6'0""","Stockholm,SWE","Chopra,Daniel",180lbs
8/7/71,"5'8""","Carshalton,ENG","Christian,Gary",160lbs
11/2/90,,THA,"Chuayprakong,Thitiphun",
1/14/90,"5'9""","Fayetteville,USA","Chung,David",150lbs
,,,"Ciesielski,Victor",
5/21/73,"6'4""","Huntsville,USA","Cink,Stewart",205lbs
4/22/60,"5'10""","Monterey,USA","Clampett,Bobby",165lbs
12/17/75,"5'7""","Durban,ZAF","Clark,Tim",165lbs
,,USA,"Clark,Wyndham",
5/4/69,"5'10""","Kingsport,USA","ClarkII,Michael",180lbs
8/14/68,"6'2""","Dungannon,NIR","Clarke,Darren",215lbs
9/14/81,"5'10""","Swainsboro,USA","Claxton,Will",170lbs
9/1/59,"6'0""","LongBeach,USA","Clearwater,Keith",195lbs
8/14/63,"5'11""","Chaco,ARG","Coceres,Jose",170lbs
,,USA,"Cochran,Case",
10/31/58,"6'0""","Paducah,USA","Cochran,Russ",190lbs
7/18/86,"5'10""","Pretoria,ZAF","Coetzee,George",209lbs
5/18/90,"5'7""","BeverlyHills,USA","Cole,Eli",150lbs
10/19/68,"5'5""","Bathurst,AUS","Coles,Gavin",160lbs
6/6/96,,AUS,"Coletta,Brett",
9/20/78,"5'9""","Indianapolis,USA","Collins,Chad",165lbs
8/24/78,"5'10""","RapidCityc,USA","Collins,Will",175lbs
11/14/82,"5'10""","Brussels,BEL","Colsaerts,Nicolas",154lbs
11/11/79,"5'8""","Miami,USA","Compton,Erik",150lbs
7/2/75,"6'1""","Dallas,USA","Connell,Michael",195lbs
9/18/96,,"Dallas,USA","Connelly,Austin",
1/6/92,,"Listowel,CAN","Conners,Corey",
,,,"Constable,Donald",
3/13/91,"5'7""","Jonesboro,USA","Cook,Austin",
10/2/57,"6'0""","Toledo,USA","Cook,John",175lbs
4/8/61,"6'0""","Houston,USA","Cooper,Carl",192lbs
,,USA,"Cooper,Cory",
,,"SouthWindsor,USA","Corcoran,Rob",
9/21/90,"6'0""","Montreal,CAN","Cornellier,Jean-Philip",160lbs
,,USA,"Cornelson,Adam",
,,USA,"Corpening,Franklin",
3/19/79,"6'1""","Monroe,USA","Corr,Jeff",175lbs
5/1/73,"6'4""","FortLauderdale,USA","Couch,Chris",225lbs
3/16/86,,ENG,"Coupland,David",
10/3/59,"5'11""","Seattle,USA","Couples,Fred",185lbs
,,USA,"Couture,Rob",
3/6/76,"5'11""","Portland,USA","Crane,Ben",165lbs
,,USA,"Crawford,Chris",
1/11/52,"5'9""","Austin,USA","Crenshaw,Ben",157lbs
11/5/78,"6'2""",ITA,"Crespi,Marco",165lbs
,,USA,"Crick,Brandon",
,,USA,"Crouch,Timothy",
10/4/84,,AUS,"Cullen,Nick",
10/31/78,"5'8""","Redding,USA","Curl,Jeff",160lbs
1/9/43,"5'5""","Redding,USA","Curl,Rod",160lbs
2/17/87,,"Hopkinton,USA","Curran,Jon",
5/26/77,"5'11""","Columbus,USA","Curtis,Ben",175lbs
,,USA,"Cutler,Steve",
1/24/72,"5'9""","SantaCruzdoSul,BRA","DaSilva,Adilson",166lbs
11/11/87,"6'0""",USA,"Dahmen,Joel",160lbs
10/30/60,"6'3""","ChestnutHill,USA","Daley,Joe",159lbs
,"5'10""","Yukon,USA","Dalke,Brad",180lbs
4/28/66,"5'11""","Carmichael,USA","Daly,John",185lbs
,,USA,"Damesworth,David",
10/27/72,"5'8""","Pikeville,USA","Damron,Robert",180lbs
1/16/94,,"Osceola,USA","Danielson,Charlie",
,,USA,"Davan,Michael",
,,USA,"Davila,Guillermo",
8/2/74,"5'11""","London,ENG","Davis,Brian",185lbs
,,AUS,"Davis,Cameron",
11/17/63,"6'0""","Freising,DEU","Dawson,Marco",190lbs
11/16/65,"5'10""","Mobile,USA","Day,Glen",170lbs
11/12/87,"6'0""","Beaudesert,AUS","Day,Jason",165lbs
,,USA,"Day,Kelvin",
7/18/80,"6'0""","Harare,ZWE","deJonge,Brendon",230lbs
1/29/72,"5'10""","Brisbane,AUS","Deane,Stuart",185lbs
10/13/74,"6'2""","Montgomery,USA","Deason,Chip",220lbs
9/16/93,"6'1""","Clovis,USA","DeChambeau,Bryson",
1/22/82,"5'11""","Weyburn,CAN","DeLaet,Graham",165lbs
10/2/81,"5'7""","BreauxBridge,USA","Delahoussaye,Brent",155lbs
10/17/60,"6'5""","St.Louis,USA","Delsing,Jay",210lbs
1/3/74,"6'2""","Nijmegen,NLD","Derksen,Robert-Jan",183lbs
5/22/77,"5'10""","Lubbock,USA","DeVoll,Casey",160lbs
2/3/87,"5'6""","Veracruz,MEX","Diaz,Roberto",180lbs
5/6/81,"6'0""","Jacksonville,USA","Dickerson,Bubba",178lbs
8/23/68,"6'0""","Huntington,USA","DiMarco,Chris",180lbs
12/29/82,"6'1""","Dumfries,ENG","Dinwiddie,Robert",182lbs
12/19/77,"6'1""","Glasgow,SCT","Doak,Chris",196lbs
,,USA,"Dobyns,Matt",
5/6/84,"5'9""","Tulsa,USA","Dodson,Will",160lbs
1/26/86,"6'0""","Queensland,AUS","Dodt,Andrew",187lbs
12/6/87,"6'1""","Toronto,CAN","Doherty,Greg",180lbs
9/9/92,"5'6""","Santiago,CHL","Dominguez,Matias",
12/7/77,"5'9""","HemelHempstead,ENG","Donald,Luke",160lbs
10/19/75,"5'11""","Pontypridd,WLS","Donaldson,Jamie",174lbs
,"5'10""",USA,"Dorn,Andrew",180lbs
,,USA,"Dou,Ze-cheng",
5/10/91,,USA,"Dougherty,Kevin",
,,"Norfolk,USA","Dougherty,Sean",
,,USA,"Downes,Billy",
,,USA,"Downs,Dennis",
7/6/73,"6'0""","Tredegar,WLS","Dredge,Bradley",168lbs
11/24/90,,AUS,"Drewitt,Brett",
10/9/77,"6'0""","Boston,USA","Driscoll,James",190lbs
,"6'0""","Kimberly,CAN","DuToit,Jared",
4/22/90,"6'1""","Nice,FRA","Dubuisson,Victor",
3/24/77,"5'10""","Cleveland,USA","Dufner,Jason",180lbs
3/14/83,,"Brewster,USA","Dugas,Eric",
1/29/69,"6'1""","Hope,USA","Duke,Ken",205lbs
,,USA,"Dunbar,Alan",
7/13/89,,USA,"Duncan,Tyler",
8/16/63,"5'11""","Pittsburgh,USA","Dunlap,Scott",180lbs
4/17/93,"6'1""","Scottsdale,USA","Dunlap,Tyler",183lbs
11/26/92,,"Dublin,IRL","Dunne,Paul",
4/7/64,"5'10""","Pensacola,USA","Durant,Joe",170lbs
11/9/71,"6'0""","Jacksonville,USA","Duval,David",180lbs
12/21/77,"6'0""","York,ENG","Dyson,Simon",168lbs
,,,"Earnest,Paul",
,,COL,"Echavarria,Andres",
4/13/79,"5'8""","Jonkoping,SWE","Edberg,Pelle",168lbs
,,USA,"Edmondson,Zach",
,"6'3""","Saskatoon,CAN","Eger,Kent",190lbs
,"5'10""","Boone,USA","Eggers,Jacob",220lbs
9/3/43,"6'1""","Waco,USA","Eichelberger,Dave",195lbs
3/17/75,"6'3""","Tulsa,USA","Elder,Brad",175lbs
12/8/62,"6'2""","Inverell,AUS","Elkington,Steve",190lbs
10/17/69,"6'3""","Johannesburg,ZAF","Els,Ernie",220lbs
,,USA,"Elvira,Nacho",
7/23/89,"6'3""","Valdosta,USA","English,Harris",185lbs
6/16/88,"5'11""","Cardiff,WLS","Enoch,Rhys",
10/27/82,"5'9""","Savannah,USA","Epperson,Chris",145lbs
,,USA,"Erdmann,Scott",
5/16/90,"6'0""","Woodland,USA","Ernst,Derek",170lbs
,"6'2""",USA,"Esposito,Frank",
2/2/66,"6'2""","Graham,USA","Estes,Bob",180lbs
4/30/72,,PRI,"Esteve,Jeronimo",
9/22/84,"6'2""","BahiaBlanca,ARG","Estevez,Joaquin",13lbs
6/21/88,"5'8""",ARG,"Etulain,Julian",
,,,"Evanecz,Mitch",
9/18/61,,"Paterson,USA","Evans,Barry",
3/15/88,,"FederalWay,USA","Evans,Christopher",170lbs
3/27/87,,ENG,"Evans,Ryan",
12/4/83,"5'11""","DaytonaBeach,USA","Every,Matt",200lbs
,"6'1""","WinstonSalem,USA","Faidley,John",185lbs
7/18/57,"6'3""","WelwynGardenCity,GBR","Faldo,SirNick",195lbs
3/25/88,,WLS,"Farr,Oliver",
12/15/86,"5'8""","BatonRouge,USA","Fast,Matt",
4/29/72,"5'11""","Gothenburg,SWE","Fasth,Niclas",169lbs
1/20/86,,"JensenBeach,USA","Fathauer,Derek",
8/1/61,"6'1""","Oceanport,USA","Faxon,Brad",190lbs
,,AUS,"Ferguson,Ben",
8/3/92,,ESP,"Fernandez,Scott",
10/13/80,"6'1""","Madrid,ESP","Fernandez-Castano,Gonzalo",187lbs
6/8/92,"5'11""","Cordoba,ARG","Fernandez-Valdes,Jorge",150lbs
,,"Fairmont,USA","Ferrell,Jess",
,"6'0""","Barrie,CAN","Ferrier,Branson",160lbs
5/13/75,"5'8""","Pretoria,ZAF","Fichardt,Darren",172lbs
2/22/53,"6'0""","Enid,USA","Fiedler,Jon",220lbs
,"5'7""",USA,"Fields,Jack",
,,"Naples,USA","Figueroa,Edward",
,"6'4""","Lehi,USA","Finau,Tony",200lbs
6/9/77,"6'2""","Hull,ENG","Finch,Richard",202lbs
8/9/89,"6'1""","Texarkana,USA","Fischer,Zack",175lbs
9/19/88,"6'1""","London,ENG","Fisher,Oliver",179lbs
11/22/80,"6'3""","Ascot,ENG","Fisher,Ross",168lbs
6/8/79,"6'5""","Johannesburg,ZAF","Fisher,Trevor",180lbs
,,USA,"Fitzgerald,Caine",
1/9/94,"5'10""","Sheffield,ENG","Fitzpatrick,Matthew",140lbs
6/13/84,"5'10""","Newcastle,AUS","Flanagan,Nick",145lbs
1/19/91,"6'1""","Southport,ENG","Fleetwood,Tommy",
5/23/67,"5'11""","Cincinnati,USA","Flesch,Steve",165lbs
,"6'1""","Ljungskile,SWE","Floren,Oscar",
,"5'11""","GrassValley,USA","Flores,Erik",170lbs
2/17/82,"6'0""","FortWorth,USA","Flores,Martin",180lbs
,,USA,"Fly,Jonathon",
5/24/87,"6'2""","NewBrunswick,USA","Foley,Kevin",185lbs
10/13/88,"5'9""","Anaheim,USA","Fowler,Rickie",150lbs
9/23/87,"5'8""","LosAngelas,USA","Fox,Ben",145lbs
,,NZL,"Fox,Ryan",
1/14/91,"6'3""",USA,"Fox,Steven",160lbs
5/24/65,"5'9""","Asuncion,PRY","Franco,Carlos",165lbs
3/1/72,"6'1""","Youngstown,USA","Frank,Garrett",185lbs
7/26/78,"6'0""","Corowa,AUS","Fraser,Marcus",197lbs
,"6'0""","MexicoCity,MEX","Fraustro,Oscar",165lbs
7/29/71,"6'0""","Dallas,USA","Frazar,Harrison",190lbs
5/7/59,"6'0""","St.Charles,USA","Freeman,Robin",180lbs
11/9/77,"5'10""","Edmonton,CAN","Fritsch,Brad",215lbs
5/1/83,"5'9""",USA,"Frost,Charles",150lbs
9/11/59,"5'11""","CapeTown,ZAF","Frost,David",195lbs
1/8/91,"5'1""","Honolulu,USA","Fujikawa,Tadd",135lbs
10/25/89,"5'5""","NaraPrefecture,JPN","Fujimoto,Yoshinori",150lbs
6/16/69,"5'6""","Tokyo,JPN","Fujita,Hiroyuki",154lbs
,,MYS,"Fung,Nicholas",
6/14/56,"5'8""","TakomaPark,USA","Funk,Fred",165lbs
5/12/70,"6'2""","WestChester,USA","Furyk,Jim",185lbs
,"6'2""","Portland,USA","Gabriel,Tye",
,,"Rumson,USA","Gaffney,Brian",
8/13/75,"6'0""","Bishopville,USA","Gainey,Tommy",181lbs
11/1/74,"6'2""","Dechmont,SCT","Gallacher,Stephen",192lbs
12/29/64,"6'0""","Marion,USA","Gallagher,Jeff",185lbs
3/24/61,"6'0""","Johnstown,USA","GallagherJr.,Jim",200lbs
7/21/68,"5'9""","LasVegas,USA","Gamez,Robert",180lbs
9/6/75,"5'8""","Marysville,USA","Gangluff,Stephen",200lbs
8/29/91,"5'9""","Petoskey,USA","Garber,Joey",180lbs
,,USA,"Garcia,Jorge",
1/9/80,"5'10""","Castellon,ESP","Garcia,Sergio",160lbs
,,ESP,"GarciaPinto,Jordi",
3/22/76,"5'11""","Liverpool,AUS","Gardiner,Scott",182lbs
,,USA,"Gardner,Tom",
,,,"Garmendia,Alejandro",
9/6/83,"5'11""","Gallatin,USA","Garnett,Brice",175lbs
5/31/94,"6'1""","Chicago,USA","Garrick,Jonathan",180lbs
11/11/77,"5'11""","Nampa,USA","Garrigus,Robert",190lbs
,,"Jupiter,USA","Garrity,Ryan",
,,USA,"Garza,Dustin",
12/31/85,"6'6""","Gainesville,USA","Gates,Bobby",225lbs
6/10/85,"6'3""","Columbus,USA","Gatto,C.J.",180lbs
12/14/71,"5'10""","Ft.Worth,USA","Gay,Brian",155lbs
5/22/68,"6'4""","SantaBarbara,USA","Geiberger,Brent",200lbs
,,ITA,"Geminiani,Domenico",
12/12/91,"6'0""","Woodland,USA","Geyer,Ben",175lbs
,,USA,"Gibb,Judd",
2/1/86,,AUS,"Gibson,Rhein",
,,USA,"Gilchrest,Matt",
6/6/78,"5'9""","Oshawa,CAN","Gillespie,Derek",175lbs
,,USA,"Gilley,Chris",
7/16/68,"6'0""","Pontiac,USA","Gillis,Tom",200lbs
9/22/86,"5'11""","ThousandOaks,USA","Gilman,Chris",160lbs
8/25/56,"6'0""","Zanesville,USA","Gleeton,Tom",175lbs
11/19/89,"6'4""","Burlington,CAN","Gligic,Michael",185lbs
11/12/79,"6'2""","Greenville,USA","Glover,Lucas",195lbs
4/24/88,,"BuenosAires,ARG","Godoy,Maximiliano",
,,"NewOrleans,USA","Goff,Drew",
6/13/74,"6'0""","Hobart,AUS","Goggin,Mathew",185lbs
7/19/85,"5'8""","Encinitas,USA","Goldberg,Aaron",155lbs
,,"Grapevine,USA","Golding,Kevin",
10/27/78,"5'8""","Resistencia,ARG","Gomez,Fabian",160lbs
5/16/83,"6'2""","Olympia,USA","Gonzales,Andres",210lbs
,,USA,"Gonzalez,Geoff",
10/24/69,"6'0""","Corrientes,ARG","Gonzalez,Ricardo",206lbs
11/14/91,"6'0""","MidwestCity,USA","Gooch,Talor",
2/3/69,"5'11""","Pietersburg,ZAF","Goosen,Retief",185lbs
5/1/81,"6'0""","Sacramento,USA","Gordon,Scott",170lbs
5/17/74,"6'1""","VanNuys,USA","Gore,Jason",235lbs
4/12/94,"6'2""","Perth,AUS","Goss,Oliver",175lbs
4/28/79,"5'10""","Phoenix,USA","Gossett,David",175lbs
8/6/91,,PRT,"Gouveia,Ricardo",
5/28/71,"6'2""","Seattle,USA","Gove,Jeff",180lbs
6/1/88,"5'11""","Cordoba,ARG","Goya,Estanislao",169lbs
6/20/64,"5'9""","LongBeach,USA","Goydos,Paul",190lbs
5/20/88,"6'0""","Pretoria,ZAF","Grace,Branden",171lbs
,,USA,"Grant,Brent",
,,USA,"Green,Garland",
12/28/93,,MYS,"Green,Gavin",
11/26/89,"5'9""","Evensvile,USA","Green,Hunter",
5/13/75,"5'8""","Newcastle,AUS","Green,Nathan",175lbs
2/19/71,"6'2""","Melbourne,AUS","Green,Richard",176lbs
,"5'10""",CAN,"Greenwell,Robbie",170lbs
,,USA,"Gregory,Scott",
,,USA,"Greyserman,Max",
9/20/90,"5'9""","Dallas,USA","Gribble,Cody",
7/26/83,"6'2""","Melbourne,AUS","Griffin,Matthew",177lbs
,,USA,"Griffith,Glen",
